name,price,frequency,socket
AMD Ryzen 5 5600X,11758,3.7,18
AMD Athlon 3000G,3430,3.5,18
AMD Ryzen 3 3300X,8400,3.8,18
AMD Ryzen 5 5500,6860,3.6,18
AMD Ryzen 5 5600,10499,3.5,18
AMD Ryzen 5 5600G,8960,3.9,18
AMD Ryzen 5 7600,16030,3.8,22
AMD Ryzen 5 7600X,16100,4.7,22
AMD Ryzen 7 5700G,13929,3.8,18
AMD Ryzen 7 5700X,12250,3.4,18
AMD Ryzen 7 5800X,15610,3.8,18
AMD Ryzen 7 5800X3D,22749,3.4,18
AMD Ryzen 7 7700,23028,3.8,22
AMD Ryzen 7 7700X,24429,4.5,22
AMD Ryzen 9 5900X,24289,3.7,18
AMD Ryzen 9 5950X,34860,3.4,18
AMD Ryzen 9 7900,28560,3.7,22
AMD Ryzen 9 7900X,30729,4.7,22
AMD Ryzen 9 7950X,40879,4.5,22
Intel Core i3-12100,9720,3.3,9
Intel Core i3-12100F,7484,3.3,9
Intel Core i5-12400,13299,2.5,9
Intel Core i5-12400F,11618,2.5,9
Intel Core i5-12500,16483,3.0,9
Intel Core i5-12600,18074,3.3,9
Intel Core i5-12600K,17534,3.6,9
Intel Core i5-12600KF,15749,3.7,9
Intel Core i5-13400,16799,2.5,9
Intel Core i5-13400F,14695,3.3,9
Intel Core i5-13600K,22399,3.5,9
Intel Core i5-13600KF,20785,3.5,9
Intel Core i7-12700,22806,2.1,9
Intel Core i7-12700K,17849,3.6,9
Intel Core i7-13700,27858,4.0,9
Intel Core i7-13700F,25897,4.0,9
Intel Core i7-13700K,29255,3.4,9
Intel Core i7-13700KF,27788,3.4,9
Intel Core i9-12900,37659,2.4,9
Intel Core i9-12900K,30266,3.2,9
Intel Core i9-12900KF,28979,3.2,9
Intel Core i9-13900,41018,4.3,9
Intel Core i9-13900F,39198,4.3,9
Intel Core i9-13900K,40599,3.0,9
Intel Core i9-13900KF,39811,3.0,9
AMD A10-6790K,0,4.0,15
AMD A10-7800,0,3.5,16
AMD A10-7850K,0,3.7,16
AMD A10-7860K,0,3.6,16
AMD A10-7870K,0,3.9,16
AMD A10-7890K,0,4.1,16
AMD A10-9700,4825,3.5,18
AMD A12-9800,0,3.8,18
AMD A12-9800E,0,3.1,18
AMD A4-5300,0,3.4,15
AMD A4-7300,0,3.8,15
AMD A6-6400K,0,3.9,15
AMD A6-7400K,3633,3.5,16
AMD A6-7470K,392,3.7,16
AMD A6-9500,4256,3.5,18
AMD A6-9500E,0,3.0,18
AMD A8-6600K,0,3.9,15
AMD A8-7600,5132,3.1,16
AMD A8-7650K,0,3.3,16
AMD A8-7650K,5320,3.3,16
AMD A8-7670K,0,3.6,16
AMD A8-9600,5085,3.1,18
AMD Athlon 200GE,3850,3.2,18
AMD Athlon 220GE,4410,3.4,18
AMD Athlon 240GE,4410,3.5,18
AMD Athlon X4 845,0,3.5,16
AMD Athlon X4 860K,0,3.7,16
AMD Athlon X4 860K,0,3.7,16
AMD Athlon X4 870K,0,3.9,16
AMD Athlon X4 880K,0,4.0,16
AMD Athlon X4 950,0,3.5,18
AMD FX-4300,6303,3.8,13
AMD FX-4350,0,4.2,13
AMD FX-6300,6209,3.5,13
AMD FX-6350,0,3.9,13
AMD FX-8150,0,3.6,13
AMD FX-8300,10052,3.3,13
AMD FX-8320,0,3.5,13
AMD FX-8320E,9282,3.2,13
AMD FX-8350,5946,4.0,13
AMD FX-8370,0,4.0,13
AMD FX-8370,9860,4.0,13
AMD FX-8370E,0,3.3,13
AMD FX-9370,14696,4.4,13
AMD FX-9590,16185,4.7,13
AMD Phenom II X6 1090T,0,3.2,12
AMD Ryzen 3 1200,5669,3.1,18
AMD Ryzen 3 1200 AF,0,3.1,18
AMD Ryzen 3 1300X,4398,3.5,18
AMD Ryzen 3 2200G,5599,3.5,18
AMD Ryzen 3 3100,6930,3.6,18
AMD Ryzen 3 3200G,6930,3.6,18
AMD Ryzen 3 4100,4830,3.8,18
AMD Ryzen 5 1400,9799,3.2,18
AMD Ryzen 5 1500X,10709,3.5,18
AMD Ryzen 5 1600,7349,3.2,18
AMD Ryzen 5 1600 AF,7699,3.2,18
AMD Ryzen 5 1600X,14349,3.6,18
AMD Ryzen 5 2400G,8672,3.6,18
AMD Ryzen 5 2600,0,3.4,18
AMD Ryzen 5 2600,9310,3.4,18
AMD Ryzen 5 2600X,10499,3.6,18
AMD Ryzen 5 2600X,18899,3.6,18
AMD Ryzen 5 3400G,10430,3.7,18
AMD Ryzen 5 3500X,0,3.6,18
AMD Ryzen 5 3600,0,3.6,18
AMD Ryzen 5 3600,13930,3.6,18
AMD Ryzen 5 3600X,16730,3.8,18
AMD Ryzen 5 3600XT,13999,3.8,18
AMD Ryzen 5 4500,5320,3.6,18
AMD Ryzen 7 1700,21120,3.0,18
AMD Ryzen 7 1700X,13999,3.4,18
AMD Ryzen 7 1800X,17499,3.6,18
AMD Ryzen 7 2700,10499,3.2,18
AMD Ryzen 7 2700,11899,3.2,18
AMD Ryzen 7 2700X,17499,3.7,18
AMD Ryzen 7 3700X,23030,3.6,18
AMD Ryzen 7 3800X,27930,3.9,18
AMD Ryzen 7 3800XT,27930,3.9,18
AMD Ryzen 9 3900X,34930,3.8,18
AMD Ryzen 9 3900XT,32899,3.8,18
AMD Ryzen 9 3950X,36749,3.5,18
AMD Ryzen 9 7900X3D,41930,4.4,22
AMD Ryzen 9 7950X3D,48930,4.2,22
AMD Ryzen Threadripper 1900X,12606,3.8,19
AMD Ryzen Threadripper 1920X,17493,3.5,19
AMD Ryzen Threadripper 1950X,29199,3.4,19
AMD Ryzen Threadripper 2920X,27057,3.5,19
AMD Ryzen Threadripper 2950X,50049,3.5,19
AMD Ryzen Threadripper 2970WX,69999,3.0,19
AMD Ryzen Threadripper 2990WX,118999,3.0,19
Intel Celeron G6900,4199,3.4,9
Intel Core i3-10100,7819,3.6,8
Intel Core i3-10100F,5459,3.6,8
Intel Core i3-10105,7908,3.7,8
Intel Core i3-10300,12039,3.7,8
Intel Core i3-10305,0,3.8,8
Intel Core i3-10320,12109,3.8,8
Intel Core i3-13100,10493,3.4,9
Intel Core i3-13100F,8678,3.4,9
Intel Core i3-6098P,0,3.6,6
Intel Core i3-6100,8049,3.7,6
Intel Core i3-6100T,8843,3.2,6
Intel Core i3-6300,9629,3.8,6
Intel Core i3-6300T,0,3.3,6
Intel Core i3-6320,12509,3.9,6
Intel Core i3-7100,9099,3.9,6
Intel Core i3-7100T,9519,3.4,6
Intel Core i3-7300,11010,4.0,6
Intel Core i3-7300T,11503,3.5,6
Intel Core i3-7320,10826,4.1,6
Intel Core i3-7350K,12249,4.2,6
Intel Core i3-8100,8399,3.6,6
Intel Core i3-8300,10290,3.7,6
Intel Core i3-8350K,12599,4.0,6
Intel Core i3-9100,7699,3.6,6
Intel Core i3-9100F,5109,3.6,6
Intel Core i3-9300,11829,3.7,6
Intel Core i3-9320,0,3.7,6
Intel Core i3-9350KF,15399,4.0,6
Intel Core i5-10400,10990,2.9,8
Intel Core i5-10400F,8154,2.9,8
Intel Core i5-10500,15329,3.1,8
Intel Core i5-10600,15398,3.3,8
Intel Core i5-10600K,14277,4.1,8
Intel Core i5-10600KF,12599,4.1,8
Intel Core i5-11400,10356,2.6,8
Intel Core i5-11400F,9449,2.6,8
Intel Core i5-11500,14979,2.7,8
Intel Core i5-11600,17218,2.8,8
Intel Core i5-11600K,14629,3.9,8
Intel Core i5-11600KF,14629,3.9,8
Intel Core i5-13500,17498,2.5,9
Intel Core i5-2500K,0,3.3,3
Intel Core i5-3570K,0,3.4,3
Intel Core i5-6400,12599,2.7,6
Intel Core i5-6500,13299,3.2,6
Intel Core i5-6600,17242,3.3,6
Intel Core i5-6600K,15399,3.5,6
Intel Core i5-7400,12740,3.0,6
Intel Core i5-7500,14140,3.4,6
Intel Core i5-7600,16099,3.5,6
Intel Core i5-7600K,17009,3.8,6
Intel Core i5-7640X,13999,4.0,7
Intel Core i5-8400,13299,2.8,6
Intel Core i5-8500,14696,3.0,6
Intel Core i5-8600,15680,3.1,6
Intel Core i5-8600K,18199,3.6,6
Intel Core i5-9400,11735,2.9,6
