name,price,socket,ram_type,ram_slots_count
MSI B550-A Pro,9799,18,2,4
ASRock 970 PRO3 R2.0 GL/SATA600/R/USB3.0 970,0,13,1,4
ASRock A88M-G/3.1 A88X,0,16,1,4
ASRock B250 Pro4,0,6,2,4
ASRock B360 Pro4,7017,6,2,4
ASRock B360M Pro4,5459,6,2,4
ASRock B360M-ITX/AC,6859,6,2,2
ASRock B650 PG Lightning,13999,22,3,4
ASRock B650 Pro RS,14909,22,3,4
ASRock B650M PG Riptide,14069,22,3,4
ASRock Fatal1ty B250M Performance,6999,6,2,4
ASRock Fatal1ty X399 Professional Gaming,27999,19,2,8
ASRock FM2A88M Pro3+,0,16,1,4
ASRock H110M-HDS,3639,6,2,2
ASRock H110M-ITX/ac,0,6,2,2
ASRock X299 Gaming K6,13999,7,2,8
ASRock X399 Taichi,20789,19,2,8
"ASRock X570 Taichi, AMD X570",15329,18,2,4
ASRock Z270 Killer SLI,8959,6,2,4
ASRock Z270 Pro4,0,6,2,4
ASRock Z270M Pro4,8724,6,2,4
ASRock Z270M-ITX/ac,8494,6,2,2
ASRock Z370 Pro4,9432,6,2,4
ASRock Z370M Pro4,6859,6,2,4
ASRock Z390 Extreme 4,10149,6,2,4
ASRock Z390 Taichi,13719,6,2,4
ASRock Z790 PG Lightning,14699,9,3,4
ASUS 970 Pro Gaming/Aura,0,13,1,4
ASUS A88X-Pro SATA600/R/eSATA/USB3.0/DVI/HDMI/VGA/DP A88X,0,16,1,4
ASUS B150I-PRO Gaming/Aura USB3.0/M.2/HDMI/DVI Mini-ITX,0,6,2,2
ASUS B150M-A GL/USB3.1/SATA600/HDMI/VGA/DVI B150,0,6,2,4
ASUS B150M-A/M.2 USB3.1/M.2/HDMI/VGA/DVI B150,5493,6,2,4
ASUS B365-PLUS,0,6,2,4
ASUS MAXIMUS VIII Impact USB3.1/SATA600/U.2/WIFI/BT/HDMI Mini-ITX,0,6,2,2
ASUS Maximus VIII RANGER,0,6,2,4
ASUS PRIME B250M-A,5250,6,2,4
ASUS PRIME B250M-C,0,6,2,4
ASUS Prime B660-Plus D4,0,9,2,4
ASUS Prime B660M-A D4,0,9,2,4
ASUS Prime B660M-A WiFi D4,0,9,2,4
