name,price,voltage
Seasonic Core GM 80 Plus Gold semi-modular,6649,650
Aerocool Project 7,0,750
Aerocool Project 7,0,650
be quiet! Dark Power Pro P11 modular,0,750
be quiet! Dark Power Pro P11 modular,0,1200
be quiet! Dark Power Pro P11 modular,0,1000
be quiet! Dark Power Pro P11 modular,0,850
be quiet! Pure Power 11 80 PLUS Bronze,0,300
be quiet! Pure Power 11 80 PLUS Gold,0,500
be quiet! Pure Power 11 80 PLUS Gold,0,400
be quiet! Pure Power 11 80 PLUS Gold,0,600
be quiet! Pure Power 11 80 PLUS Gold,0,700
be quiet! Pure Power 11 CM 80 PLUS Gold,0,500
be quiet! Pure Power 11 CM 80 PLUS Gold,0,400
be quiet! Pure Power 11 CM 80 PLUS Gold,0,600
be quiet! Pure Power 11 CM 80 PLUS Gold,0,700
be quiet! Straight Power 11,0,850
be quiet! Straight Power 11,0,1000
BitFenix Formula 80 PLUS Gold,0,550
BitFenix Formula 80 PLUS Gold,0,650
BitFenix Formula 80 PLUS Gold,4982,450
BitFenix Whisper M 80 PLUS Gold,0,650
BitFenix Whisper M 80 PLUS Gold,0,850
BitFenix Whisper M 80 PLUS Gold,5827,450
BitFenix Whisper M 80 PLUS Gold,6671,550
Cooler Master MasterWatt,0,450
Corsair CX450,3849,450
Corsair CX450M,4899,450
Corsair CX550,4549,550
Corsair RM Series RM1000i,0,1000
Corsair RM Series RM650,8048,650
Corsair RM Series RM750,9096,750
Corsair RM Series RM850,8049,850
Corsair RM Series RM850i,0,850
Corsair RM550x,7699,550
Corsair RM750x,9099,750
Corsair RMX Series RM1000x,13999,1000
Corsair RMX Series RM750x,9449,750
Corsair RMX Series RM850x,10499,850
Corsair RMX Series RMX550,0,550
Corsair RMX Series RMX550x,0,550
Corsair RMX Series RMX650,0,650
Corsair RMX Series RMX650x,0,650
Corsair RMX Series RMX750,0,750
Corsair RMX Series RMX850,0,850
Corsair SF Series SF450 80 PLUS Gold SFX,0,450
Corsair TX550M,6999,550
Corsair TX550M Series Modular,0,550
Corsair TX650M,6649,650
Corsair TX650M Series Modular,0,650
Corsair TX750M,7699,750
Corsair TX750M Series Modular,0,750
Corsair TX850M,7699,850
Corsair TX850M Series Modular,0,850
Corsair Vengeance Series V500,0,500
Corsair Vengeance Series V550M,0,550
Cougar VTX,0,450
EVGA 450B,0,450
EVGA 500B,0,500
EVGA SuperNOVA 550 G3,5599,550
EVGA SuperNOVA 650 G3,6299,650
EVGA Supernova 750 G2L,0,750
EVGA SuperNOVA 750 G3,9378,750
EVGA SuperNOVA 850 G2,10268,850
EVGA SuperNOVA G2,0,1600
EVGA SuperNOVA G2,0,1300
EVGA SuperNOVA G2,0,1000
EVGA SuperNOVA G2,0,650
EVGA SuperNOVA G2,0,750
EVGA SuperNOVA G2,0,550
EVGA SuperNOVA G3,0,1000
EVGA SuperNOVA G3,0,750
EVGA SuperNOVA P2,0,850
EVGA SuperNOVA P2,0,1000
EVGA SuperNOVA P2,0,750
EVGA SuperNOVA P2 80 PLUS Platinum,0,650
Kolink Enclave 80 PLUS Gold,0,500
Kolink SFX-250,0,250
Kolink SFX-350,0,350
PHANTEKS AMP 80 PLUS Gold,6789,550
PHANTEKS AMP 80 PLUS Gold,7419,650
Seasonic Core GC 80 Plus Gold,0,650
Seasonic Core GC 80 PLUS Gold,0,500
Seasonic Core GM 80 PLUS Gold,5599,500
Seasonic FOCUS 550 GOLD,7559,550
Seasonic Focus GX 80 Plus Gold,8399,750
Seasonic Focus GX 80 Plus Gold,8399,550
Seasonic Focus GX 80 Plus Gold,9099,650
Seasonic Focus GX 80 PLUS Gold,11199,850
Seasonic Focus PX 80 Plus Platinum 750 Watt,10430,750
Seasonic P-Series Fanless 80 PLUS Platinum,8197,400
Seasonic PRIME 650 GOLD,7345,650
Seasonic PRIME 750 W Platinum,10493,750
Seasonic Prime PX 80 PLUS Platinum,0,650
Seasonic Prime Ultra 80 PLUS Platinum,9449,650
Seasonic Snow Silent,0,1050
Silverstone SST-ST45SF V2.0 Strider Series SFX,5599,450
Silverstone SST-SX500-LG v2.0 SFX-L 80 PLUS Gold,0,500
Silverstone SST-SX600-G Strider Gold Series,8549,600
Silverstone SST-SX800-LTI SFX-L 80 PLUS Titanium,15259,800
Super Flower Golden Green HX,0,450
Super Flower Golden Green HX,0,550
Super Flower Leadex 80 PLUS Platinum black,0,650
Super Flower Leadex II,0,750
Super Flower Leadex II,0,650
Super Flower Leadex II,0,750
Super Flower Leadex II,0,650
Super Flower Leadex III 80 PLUS Gold,0,550
Super Flower Leadex III 80 PLUS Gold,0,650
Super Flower Leadex III 80 PLUS Gold,0,750
Super Flower Leadex III 80 PLUS Gold,0,850
Super Flower Leadex III ARGB 80 PLUS Gold,0,850
Super Flower Leadex III ARGB 80 PLUS Gold,0,750
Super Flower Leadex III ARGB 80 PLUS Gold,0,650
Super Flower Leadex III ARGB 80 PLUS Gold,0,550
Super Flower Platinum King,0,650
Super Flower Platinum King,0,450
Super Flower Platinum King,0,550
Aerocool Aero Bronze 500W 80 PLUS Bronze,0,500
Aerocool Aero Bronze 550M 80 PLUS Bronze,0,550
Aerocool Aero Bronze 550W 80 PLUS Bronze,0,550
Aerocool Aero Bronze 600W 80 PLUS Bronze,0,600
Aerocool Aero Bronze 650M 80 PLUS Bronze,0,650
Aerocool Aero Bronze 650W 80 PLUS Bronze,0,650
Aerocool Aero Bronze 700W 80 PLUS Bronze,0,700
Aerocool Aero Bronze 750M 80 PLUS Bronze,0,750
Aerocool Aero Bronze 750W 80 PLUS Bronze,0,750
Aerocool Aero Bronze 850M 80 PLUS Bronze,0,850
Aerocool Aero Cylon 400W 80 PLUS,0,400
Aerocool Aero White 500 80 PLUS,0,500
Aerocool Aero White 550 80 PLUS,0,550
Aerocool Aero White 600 80 PLUS,0,600
Aerocool Aero White 650 80 PLUS,0,650
Aerocool Aero White 700 80 PLUS,0,700
Aerocool Cylon RGB 500W 80 PLUS,0,500
Aerocool Cylon RGB 600W 80 PLUS,0,600
Aerocool Cylon RGB 700W 80 PLUS,0,700
Aerocool Project 7,12599,850
Aerocool Xpredator 400 80 PLUS Bronze,0,400
Aerocool Xpredator 500,0,500
Aerocool Xpredator 600,0,600
Aerocool Xpredator 700,0,700
Aerocool Xpredator 750M,0,750
Aerocool Xpredator Gold 650GM,0,650
Akasa,0,90
Akasa 80 Watt DC-DC-Wandlerplatine 12 V,0,80
Akasa externes Mini-ITX Systeme 12V,0,84
Akasa PD150-02K externes,0,150
Antec EAG Pro 550W 80 PLUS Gold,0,550
Antec EAG Pro 650W 80 PLUS Gold,0,650
Antec EAG Pro 750W 80 PLUS Gold,0,750
Antec EDGE EDG550,0,550
Antec EDGE EDG650,0,650
Antec EDGE EDG750,0,750
Antec High Current Gamer,6999,520
Antec High Current Gamer,6999,620
Antec High Current Gamer HCG-620M,0,620
Antec High Current Gamer HCG-750M,0,750
Antec High Current Gamer HCG-850M,0,850
Antec High Current Gamer HCG650 80 PLUS Gold,0,650
Antec High Current Gamer HCG750 80 PLUS Gold,0,750
Antec High Current Gamer HCG850 80Plus Gold,0,850
Antec High Current Pro HCP-1000 Platinum,0,1000
Antec High Current Pro HCP-1300 Platinum,0,1300
Antec High Current Pro HCP-850 Platinum,0,850
Antec NE450M EC Semi Modular,0,450
Antec NE550M EC Semi Modular,0,550
Antec NE650M EC Semi Modular,0,650
Antec True Power TP550C,0,550
Antec True Power TP650C,0,650
Antec True Power TP750C,0,750
Antec VP Strictly Power,0,450
ASUS ROG Strix 1000G,0,1000
ASUS ROG Strix 550G 80 PLUS Gold,0,550
ASUS ROG Strix 650G 80 PLUS Gold,0,650
ASUS ROG Strix 750G 80 PLUS Gold,0,750
ASUS ROG Thor 80 PLUS Platinum,0,850
