name,price,frequency,type,size
Corsair Vengeance LPX Series red DDR4-3200,2939,3200,2,16
ADATA Lancer DDR5-5200,0,5200,3,16
ADATA Premier DDR5-4800,3499,4800,3,16
ADATA XPG Spectrix D80 red,0,3200,2,32
ADATA XPG Spectrix D80 black,0,3200,2,16
ADATA XPG Spectrix RGB D41 grey,0,3200,2,16
ADATA XPG Spectrix RGB D41 grey,0,3200,2,32
ADATA XPG Spectrix RGB D41 grey,8804,3600,2,16
ADATA XPG Spectrix RGB D41 red,0,3600,2,16
ADATA XPG Spectrix RGB D41 red,11940,3200,2,16
ADATA XPG Spectrix RGB D60G grey,0,3200,2,16
ADATA XPG Spectrix RGB D60G grey,9742,3600,2,16
"Avexir Blitz Series, weiße LED, DDR4-3600, CL17 - 16 GB Kit",0,3600,2,16
"Avexir Core Series, blaue LED, DDR4-2400, CL16 - 16 GB Kit",0,2400,2,16
"Avexir Core Series, blaue LED, DDR4-2400, CL16 - 8 GB",0,2400,2,8
"Avexir Core Series, blaue LED, DDR4-2400, CL16 - 8 GB Kit",0,2400,2,8
"Avexir Core Series, grüne LED, DDR4-2400, CL16 - 8 GB",0,2400,2,8
"Avexir Core Series, rote LED, DDR4-2400, CL16 - 32 GB Kit",0,2400,2,32
"Avexir Core Series, rote LED, DDR4-2400, CL16 - 8 GB",0,2400,2,8
"Avexir Core Series, rote LED, DDR4-2400, CL16 - 8 GB Kit",0,2400,2,8
"Avexir Core Series, weiße LED, DDR4-2400, CL16 - 8 GB",0,2400,2,8
"Avexir Core Series, weiße LED, DDR4-2400, CL16 - 8 GB Kit",0,2400,2,8
Ballistix Sport DDR3-1600 CL9,0,1600,1,8
Ballistix Sport DDR3-1600 CL9,0,1600,1,16
Ballistix Sport DDR4-2400 CL16,0,2400,2,8
Ballistix Sport DDR4-2400 CL16,0,2400,2,4
Ballistix Sport LT DDR4-2400 red CL16,0,2400,2,32
Ballistix Tactical LP DDR3-1600 CL8   Low Profile,0,1600,1,4
Corsair Dominator Platinum + AF,12599,3600,2,16
Corsair Dominator Platinum DDR4-2666 CL15,10849,2666,2,32
Corsair Dominator Platinum RGB Series,6439,3200,2,16
Corsair Dominator Platinum RGB Series,6439,3200,2,16
Corsair Dominator Platinum RGB Series,7349,3600,2,16
