name;price;v_ram_size;frequency
Sapphire Pulse Radeon RX 6600 Gaming;17499;8;2044
Aorus RTX 3070 Master;44099;8;1845
ASUS GeForce RTX 3050 Dual;0;8;1852
ASUS GeForce RTX 3050 Phoenix;0;8;1807
ASUS GeForce RTX 3050 ROG Strix;0;8;1890
ASUS GeForce RTX 3060 Dual LHR;0;12;1807
ASUS GeForce RTX 3060 Dual OC;0;12;1867
ASUS GeForce RTX 3060 Phoenix V2 12G LHR;32381;12;1807
ASUS GeForce RTX 3060 ROG Strix;0;12;1807
ASUS GeForce RTX 3060 ROG Strix LHR;0;12;1912
ASUS GeForce RTX 3060 ROG Strix OC;0;12;1912
ASUS GeForce RTX 3060 Ti Dual Mini V2 O8G LHR;0;8;1680
ASUS GeForce RTX 3060 Ti Dual V2 O8G LHR;0;8;1740
ASUS GeForce RTX 3060 Ti ROG Strix V2 O8G LHR;0;8;0
ASUS GeForce RTX 3060 Ti TUF V2 8G LHR;0;8;1695
ASUS GeForce RTX 3060 Ti TUF V2 O8G LHR;0;8;1755
ASUS GeForce RTX 3060 TUF;0;12;1807
ASUS GeForce RTX 3060 TUF LHR;32381;12;1882
ASUS GeForce RTX 3060 TUF OC;0;12;1882
ASUS GeForce RTX 3070 Dual V2 O8G LHR;0;8;0
ASUS GeForce RTX 3070 Noctua Edition;0;8;1815
ASUS GeForce RTX 3070 ROG Strix 8G White LHR;0;8;0
ASUS GeForce RTX 3070 ROG Strix O8G White LHR;0;8;0
ASUS GeForce RTX 3070 ROG Strix V2 O8G LHR;0;8;0
ASUS GeForce RTX 3070 Ti ROG Strix;0;8;1800
ASUS GeForce RTX 3070 Ti ROG Strix OC;0;8;1875
ASUS GeForce RTX 3070 Ti TUF O8G LHR;0;8;1815
ASUS GeForce RTX 3070 TUF V2 O8G LHR;0;8;0
ASUS GeForce RTX 3080 Noctua;0;10;1815
ASUS GeForce RTX 3080 ROG Strix 1;0;10;0
ASUS GeForce RTX 3080 ROG Strix O1;0;10;0
ASUS GeForce RTX 3080 ROG Strix V2 10G LHR;0;10;0
ASUS GeForce RTX 3080 ROG Strix V2 O10G LHR;0;10;0
ASUS GeForce RTX 3080 Ti ROG Strix O12G;0;12;1845
ASUS GeForce RTX 3080 Ti TUF;0;12;1695
ASUS GeForce RTX 3080 Ti TUF O12G;0;12;1785
ASUS GeForce RTX 3080 TUF Gaming 1;0;10;0
ASUS GeForce RTX 3080 TUF Gaming O1;0;10;0
ASUS GeForce RTX 3080 TUF V2 10G LHR;0;10;0
ASUS GeForce RTX 3080 TUF V2 O10G LHR;0;10;0
ASUS GeForce RTX 3090 ROG Strix 2;0;24;0
ASUS GeForce RTX 3090 ROG Strix O2;0;24;0
ASUS GeForce RTX 3090 Ti ROG Strix LC;0;24;1950
ASUS GeForce RTX 3090 Ti TUF;0;24;0
ASUS GeForce RTX 3090 TUF Gaming 2;0;24;0
ASUS GeForce RTX 3090 TUF Gaming O2;0;24;0
ASUS Radeon RX 6500 XT Dual;0;4;2815
ASUS Radeon RX 6500 XT TUF;0;4;2815
ASUS Radeon RX 6600 Dual;0;8;0
ASUS Radeon RX 6600 XT Dual OC;0;8;0
ASUS Radeon RX 6600 XT ROG Strix OC;44068;8;0
ASUS Radeon RX 6650 XT Dual;0;8;0
ASUS Radeon RX 6700 XT Dual;0;12;2581
ASUS Radeon RX 6700 XT Dual (rev2);0;12;2622
